course,equivalent_course
CHDV 21401,ANTH 20702
CHDV 21401,CRES 20802
CHDV 21500,GNSE 21500
CHDV 21500,HIPS 22401
CHDV 21800,CHDV 34300
CHDV 21901,ANTH 27605
CHDV 21901,ANTH 37605
CHDV 21901,CHDV 31901
CHDV 21901,PSYC 21950
CHDV 21901,PSYC 31900
CHDV 21901,LING 27700
CHDV 21901,LING 37700
CHDV 23204,CHDV 43204
CHDV 23249,BIOS 23249
CHDV 23249,PSYC 23249
CHDV 23301,ANTH 24315
CHDV 23301,ANTH 35115
CHDV 23301,CHDV 33301
CHDV 23301,HIPS 27302
CHDV 23620,ANTH 23620
CHDV 23620,ANTH 33620
CHDV 23620,CHDV 33620
CHDV 23900,PSYC 23200
CHDV 23900,LING 21600
CHDV 24402,CHDV 34402
CHDV 24402,MAPS 34400
CHDV 25116,ANTH 25116
CHDV 25116,INST 27701
CHDV 25120,PBPL 25120
CHDV 25120,PSYC 25120
CHDV 25900,PSYC 20500
CHDV 26000,PSYC 20600
CHDV 26233,PSYC 26219
CHDV 26303,CHDV 36303
CHDV 26303,MAPS 36300
CHDV 26310,HMRT 28310
CHDV 26310,HMRT 38310
CHDV 27317,JWSC 24500
CHDV 27317,CRES 27317
CHDV 27700,CHDV 31800
CHDV 27821,SOCI 20226
CHDV 27821,PBPL 27821
CHDV 27901,LACS 27901
CHDV 27901,CHDV 47901
CHDV 27901,LACS 47901
CHDV 27902,LACS 27902
CHDV 27902,CHDV 47902
CHDV 27903,LACS 27903
CHDV 27903,CHDV 47903
CHDV 27903,LACS 47903
CHDV 27950,CHDV 37950
CHDV 29301,CHDV 39301
CMLT 20500,ENGL 13800
CMLT 20500,CLAS 31200
CMLT 20500,CLCV 21200
CMLT 20500,CMLT 30500
CMLT 20500,ENGL 31000
CMLT 20500,TAPS 28400
CMLT 20600,ENGL 13900
CMLT 20600,CMLT 30600
CMLT 20600,ENGL 31100
CMLT 20600,TAPS 28401
CMLT 21101,LATN 21100
CMLT 21101,CMLT 31101
CMLT 21101,LATN 31100
CMLT 21202,ENGL 24404
CMLT 21202,ENGL 44509
CMLT 21202,CMLT 41202
CMLT 21202,CMST 24508
CMLT 21202,CMST 44508
CMLT 21202,TAPS 28418
CMLT 22301,RUSS 22302
CMLT 22301,CMLT 32301
CMLT 22301,ENGL 28912
CMLT 22301,ENGL 32302
CMLT 22301,FNDL 27103
CMLT 22301,HIST 23704
CMLT 22301,RUSS 32302
CMLT 22400,CMST 28500
CMLT 22400,ARTH 28500
CMLT 22400,ARTH 38500
CMLT 22400,ARTV 26500
CMLT 22400,ARTV 36500
CMLT 22400,CMLT 32400
CMLT 22400,CMST 48500
CMLT 22400,ENGL 29300
CMLT 22400,ENGL 48700
CMLT 22400,MAPH 36000
CMLT 22500,CMST 28600
CMLT 22500,ARTH 28600
CMLT 22500,ARTH 38600
CMLT 22500,ARTV 26600
CMLT 22500,CMLT 32500
CMLT 22500,CMST 48600
CMLT 22500,ENGL 29600
CMLT 22500,ENGL 48900
CMLT 22500,MAPH 33700
CMLT 23201,SOSL 27200
CMLT 23201,CMLT 33201
CMLT 23201,NEHC 20885
CMLT 23201,NEHC 30885
CMLT 23201,SOSL 37200
CMLT 23401,SOSL 27300
CMLT 23401,CMLT 33401
CMLT 23401,HIST 24005
CMLT 23401,HIST 34005
CMLT 23401,NEHC 20573
CMLT 23401,NEHC 30573
CMLT 23401,SOSL 37300
CMLT 23702,ENGL 25931
CMLT 23702,ENGL 42409
CMLT 23702,CMLT 33702
CMLT 24220,SPAN 24220
CMLT 24220,CMLT 34220
CMLT 24220,FNDL 22405
CMLT 24220,REMS 34220
CMLT 24220,RLLT 34220
CMLT 24220,SPAN 34220
CMLT 24270,MAPH 34310
CMLT 24270,CMLT 34271
CMLT 24270,ENGL 27807
CMLT 24408,ENGL 24408
CMLT 24408,TAPS 28438
CMLT 25001,PHIL 24800
CMLT 25001,FNDL 22001
CMLT 25001,GNSE 23100
CMLT 25001,HIPS 24300
CMLT 25009,EALC 25009
CMLT 25009,SALC 27300
CMLT 25010,ENGL 25010
CMLT 25011,ENGL 24409
CMLT 25102,PHIL 21910
CMLT 25102,PHIL 31910
CMLT 25102,CMLT 35102
CMLT 25102,DVPR 35100
CMLT 25102,CHSS 31910
CMLT 25102,HIPS 21910
CMLT 26014,GRMN 26014
CMLT 26400,ITAL 22200
CMLT 26700,ITAL 36200
CMLT 26700,CMLT 36700
CMLT 26700,ITAL 26200
CMLT 26701,ITAL 33900
CMLT 26701,CMLT 36701
CMLT 26701,FNDL 21103
CMLT 26701,ITAL 23900
CMLT 27014,EALC 27014
CMLT 27014,CMLT 37014
CMLT 27014,EALC 37014
CMLT 27014,FNDL 21907
CMLT 27114,GRMN 27114
CMLT 27402,EALC 28620
CMLT 27402,EALC 38620
CMLT 27402,CMLT 37402
CMLT 27701,SOSL 37700
CMLT 27701,CMLT 37701
CMLT 27701,RUSS 27300
CMLT 27701,RUSS 37300
CMLT 27701,SOSL 27700
CMLT 28610,GRMN 25013
CMLT 28900,BIOS 29323
CMLT 28900,BPRO 28600
CMLT 28900,HMRT 28602
CRES 20206,HIST 20206
CRES 20206,GNSE 23503
CRES 20206,GNSE 32603
CRES 20206,HIST 30206
CRES 20701,HIST 10101
CRES 20701,ANTH 20701
CRES 22205,ANTH 22205
CRES 22205,ANTH 31700
CRES 22205,LACS 22205
CRES 22205,LACS 31700
CRES 24201,ENGL 27600
CRES 24201,AFAM 21900
CRES 24201,CMLT 22900
CRES 24201,CMLT 42900
CRES 24201,CMST 24201
CRES 24201,CMST 34201
CRES 24201,CRES 34201
CRES 24201,ENGL 48601
CRES 25701,HIST 25701
CRES 25701,CLAS 30200
CRES 25701,CLCV 20200
CRES 25701,CMES 30634
CRES 25701,HIST 35701
CRES 25701,NEHC 20634
CRES 25701,NEHC 30634
CRES 20104,SOCI 20104
CRES 20104,GEOG 22700
CRES 20104,GEOG 32700
CRES 20104,SOCI 30104
CRES 20104,SOSC 25100
CRES 21201,ANTH 21201
CRES 22150,PLSC 22150
CRES 22150,LLSO 25902
CRES 24601,RLST 24601
CRES 24601,AFAM 24601
CRES 25405,PBPL 25405
CRES 27301,AFAM 27305
CRES 27301,HIST 27301
CRES 27403,HIST 27403
CRES 27403,CRES 37403
CRES 27403,HIST 37403
CRES 27705,HIST 27705
CRES 27705,HIST 37705
CRES 27705,LLSO 22210
CRES 10800,HIST 15100
CRES 10800,EALC 10800
CRES 10800,SOSC 23500
CRES 10900,HIST 15200
CRES 10900,EALC 10900
CRES 10900,SOSC 23600
CRES 11000,HIST 15300
CRES 11000,EALC 11000
CRES 11000,SOSC 23700
CRES 14400,HIST 14400
CRES 14400,JAPN 14405
CRES 17602,HIST 17602
CRES 21264,ANTH 21264
CRES 24255,EALC 24255
CRES 24255,EALC 34255
CRES 24255,HIST 24507
CRES 24255,HIST 34507
CRES 24706,EALC 24706
CRES 24706,HIST 24706
CRES 27900,HIST 27900
CRES 27900,EALC 27907
CRES 27900,EALC 37907
CRES 27900,HIST 37900
CRES 16101,LACS 16100
CRES 16101,ANTH 23101
CRES 16101,HIST 16101
CRES 16101,HIST 36101
CRES 16101,LACS 34600
CRES 16101,SOSC 26100
CRES 16102,LACS 16200
CRES 16102,ANTH 23102
CRES 16102,HIST 16102
CRES 16102,HIST 36102
CRES 16102,LACS 34700
CRES 16102,SOSC 26200
CRES 16103,LACS 16300
CRES 16103,ANTH 23103
CRES 16103,HIST 16103
CRES 16103,HIST 36103
CRES 16103,LACS 34800
CRES 16103,SOSC 26300
CRES 20400,LACS 20400
CRES 20400,ANTH 21230
CRES 20400,ANTH 30705
CRES 20400,CHDV 20400
CRES 20400,CHDV 30401
CRES 20400,LACS 30401
CRES 21903,SPAN 21903
CRES 21903,LACS 21903
CRES 22401,ENGL 22815
CRES 22401,GNSE 22802
CRES 22401,LACS 22815
CRES 22401,SPAN 22815
CRES 24901,PBPL 24901
CRES 24901,LACS 24901
CRES 28000,HIST 28000
CRES 28000,HIST 38000
CRES 28000,AMER 28001
CRES 28000,GNSE 28202
CRES 28000,LACS 28000
CRES 28000,LACS 38000
CRES 36500,HIST 26500
CRES 36500,CRES 26500
CRES 36500,HIST 36500
CRES 36500,LACS 26500
CRES 36500,LACS 36500
CRES 36500,LLSO 26500
CRES 34501,ANTH 24511
CRES 34501,ANTH 34502
CRES 34501,CHDV 38101
CRES 34501,MAPS 34500
CRES 34501,SOSC 34500
CRES 34502,ANTH 24512
CRES 34502,SOSC 34600
CRES 10200,MUSI 10200
CRES 20001,JWSC 20001
CRES 20001,HIST 22113
CRES 20001,NEHC 20401
CRES 20001,NEHC 30401
CRES 20001,RLST 20604
CRES 20104,SOCI 20104
CRES 20104,GEOG 22700
CRES 20104,GEOG 32700
CRES 20104,SOCI 30104
CRES 20104,SOSC 25100
CRES 20140,SOCI 20140
CRES 20173,SOCI 20173
CRES 20173,CRES 30173
CRES 20173,SOCI 30173
CRES 20207,CHDV 20207
CRES 21903,SPAN 21903
CRES 21903,LACS 21903
CRES 22205,ANTH 22205
CRES 22205,ANTH 31700
CRES 22205,LACS 22205
CRES 22205,LACS 31700
CRES 23410,ENGL 23410
CRES 23833,ARTV 23833
CRES 23833,ARTV 33833
CRES 23833,CRES 38333
CRES 23833,MUSI 26114
CRES 23833,MUSI 38214
CRES 23833,TAPS 28429
CRES 24001,ANTH 24001
CRES 24001,HIST 18301
CRES 24001,SOSC 24001
CRES 24002,ANTH 24002
CRES 24002,HIST 18302
CRES 24002,SOSC 24002
CRES 24003,ANTH 24003
CRES 24003,HIST 18303
CRES 24003,SALC 20702
CRES 24003,SOSC 24003
CRES 24913,LACS 24913
CRES 24913,RLST 24913
CRES 26201,PLSC 26201
CRES 26201,AFAM 26201
CRES 26801,PBPL 26801
CRES 27317,JWSC 24500
CRES 27317,CHDV 27317
CRES 27400,HIST 27400
CRES 27400,AFAM 27403
CRES 27400,CRES 37400
CRES 27400,HIST 37400
CRES 27400,LLSO 28711
CRES 27605,AMER 27605
CRES 27605,GNSE 27605
CRES 27605,HMRT 27061
CRES 27605,LLSO 28010
CRES 27605,HIST 27605
CRES 28703,HIST 28703
CRES 28807,HIST 28807
CRES 28807,AMER 28807
CRES 29302,HMRT 20200
CRES 29302,HIST 29302
CRES 29302,HIST 39302
CRES 29302,HMRT 30200
CRES 29302,INRE 31700
CRES 29302,LAWS 41301
CRES 29302,LLSO 27100
CRES 29626,HIST 29626
CRES 30173,SOCI 20173
CRES 30173,CRES 20173
CRES 30173,SOCI 30173
CRES 37400,HIST 27400
CRES 37400,AFAM 27403
CRES 37400,CRES 27400
CRES 37400,HIST 37400
CRES 37400,LLSO 28711
CRES 40110,CHDV 40110
BIOS 24231,CPNS 34231
BIOS 24232,CPNS 33200
BIOS 24232,ORGB 34650
BIOS 24232,PSYC 34410
BIOS 24246,CPNS 34600
BIOS 24246,NURB 34600
BIOS 24246,CCTS 40100
BIOS 24408,CPNS 32111
BIOS 26210,CPNS 31000
BIOS 26210,PSYC 36210
BIOS 26211,CPNS 31100
BIOS 26211,PSYC 36211
CMSC 22620,CMSC 32620
CMSC 23300,CMSC 33300
CMSC 23310,CMSC 33310
CMSC 23400,CMSC 33400
CMSC 23800,CSPP 53800
CMSC 25020,CMSC 35050
CMSC 25020,LING 28600
CMSC 25020,LING 38600
CMSC 25025,STAT 37601
CMSC 25050,CMSC 35500
CMSC 25050,STAT 37900
CMSC 25400,STAT 27725
CMSC 27700,MATH 27700
CMSC 27800,MATH 27800
CMSC 28000,MATH 28000
CMSC 28100,MATH 28100
CRWR 10200,CRWR 30200
CRWR 10300,CRWR 30300
CRWR 10400,CRWR 30400
CRWR 12000,CRWR 32000
CRWR 13000,CRWR 33000
CRWR 13006,CRWR 33006
CRWR 14000,CRWR 34000
CRWR 22100,CRWR 42100
CRWR 23100,CRWR 43100
CRWR 24100,CRWR 44100
CRWR 28200,CRWR 48200
CRWR 29200,CRWR 49200
CRWR 29300,CRWR 49300
CRWR 29400,CRWR 49400
CHIN 20401,CHIN 30100
CHIN 20402,CHIN 30200
CHIN 20403,CHIN 30300
CHIN 20501,CHIN 41100
CHIN 20502,CHIN 41200
CHIN 20503,CHIN 41300
CHIN 20508,CHIN 40800
CHIN 20509,CHIN 40900
CHIN 20510,CHIN 41000
CHIN 20601,CHIN 51100
CHIN 20602,CHIN 51200
CHIN 20603,CHIN 51300
CHIN 20701,CHIN 31100
CHIN 20702,CHIN 31200
CHIN 20703,CHIN 31300
JAPN 19000,EALC 19001
JAPN 19000,JAPN 39000
JAPN 20401,JAPN 30100
JAPN 20402,JAPN 30200
JAPN 20403,JAPN 30300
JAPN 20500,JAPN 40500
JAPN 20600,JAPN 40600
JAPN 20700,JAPN 40700
KORE 20401,KORE 30100
KORE 20402,KORE 30200
KORE 20403,KORE 30300
KORE 22100,KORE 42100
KORE 22200,KORE 42200
KORE 22300,KORE 42300
EALC 10800,HIST 15100
EALC 10800,CRES 10800
EALC 10800,SOSC 23500
EALC 10900,HIST 15200
EALC 10900,CRES 10900
EALC 10900,SOSC 23600
EALC 11000,HIST 15300
EALC 11000,CRES 11000
EALC 11000,SOSC 23700
EALC 15400,HIST 15400
EALC 15400,CRES 11200
EALC 15400,SOSC 23801
EALC 16100,ARTH 16100
EALC 16600,CMST 24620
EALC 16600,GNSE 16610
EALC 16806,ARTH 16800
EALC 19000,EALC 39900
EALC 19000,HIST 24112
EALC 19000,HIST 34112
EALC 19001,JAPN 19000
EALC 19001,JAPN 39000
EALC 19800,EALC 39800
EALC 19909,TAPS 28454
EALC 22500,EALC 32500
EALC 24312,EALC 34312
EALC 24500,HIST 24500
EALC 24500,HIST 34500
EALC 24500,EALC 34500
EALC 24608,HIST 24607
EALC 24608,CRES 24607
EALC 24803,HIST 24803
EALC 24803,HIST 34803
EALC 24803,EALC 34803
EALC 24808,HIST 24807
EALC 24930,CMST 24914
EALC 24950,EALC 34950
EALC 25009,CMLT 25009
EALC 25009,SALC 27300
EALC 25600,EALC 35600
EALC 25600,GNSE 25600
EALC 25600,GNSE 35600
EALC 26001,EALC 36001
EALC 26601,EALC 36601
EALC 26601,LING 29601
EALC 26601,LING 39601
EALC 26707,ARTH 26707
EALC 26707,ARTH 36707
EALC 26707,EALC 36707
EALC 27014,CMLT 27014
EALC 27014,CMLT 37014
EALC 27014,EALC 37014
EALC 27014,FNDL 21907
EALC 27420,GNSE 27420
EALC 29704,ARTH 29704
EALC 29704,ARTH 39704
EALC 29704,EALC 39704
EALC 29704,HIST 24603
EALC 29704,HIST 34603
ECON 21800,ECON 41100
ECON 22200,ECON 32000
ECON 22600,ECON 42900
ECON 22650,ECON 42800
ECON 25620,PBPL 25620
ECON 25620,PPHA 37500
ECON 26530,ENST 26530
ECON 26530,PBPL 26530
ECON 26530,PPHA 32510
ECON 26540,ENST 26531
ECON 26540,PBPL 26531
ECON 26540,PPHA 32520
ECON 26600,GEOG 26600
ECON 26600,GEOG 36600
ECON 26600,LLSO 26202
ECON 26600,PBPL 24500
ECON 26700,PBPL 26700
ECON 26800,BPRO 29000
ECON 26800,CHSS 37502
ECON 26800,ENST 29000
ECON 26800,PBPL 29000
ECON 26800,PPHA 39201
ECON 26800,PSMS 39000
ECON 27300,PBPL 27300
ECON 28600,PBPL 28605
ECON 28700,PBPL 23200
SOSC 25501,UTEP 35501
SOSC 25502,UTEP 35502
SOSC 25503,UTEP 35503
CHDV 20209,PSYC 20209
ECON 26700,PBPL 26700
PSYC 20500,CHDV 25900
PSYC 23200,CHDV 23900
PSYC 23200,LING 21600
PBPL 25405,CRES 25405
SOCI 20004,SOCI 30004
SOCI 20192,SOCI 30192
ENGL 10800,CMST 10100
ENGL 10800,ARTH 20000
ENGL 10800,ARTV 25300
ENGL 13000,ISHU 23000
ENGL 13000,ENGL 33000
ENGL 13800,CLAS 31200
ENGL 13800,CLCV 21200
ENGL 13800,CMLT 20500
ENGL 13800,CMLT 30500
ENGL 13800,ENGL 31000
ENGL 13800,TAPS 28400
ENGL 13900,CMLT 20600
ENGL 13900,CMLT 30600
ENGL 13900,ENGL 31100
ENGL 13900,TAPS 28401
ENGL 15600,GNSE 15600
ENGL 16500,FNDL 21403
ENGL 16500,ISHU 26550
ENGL 16500,TAPS 28405
ENGL 16600,FNDL 21404
ENGL 16600,TAPS 28406
ENGL 21202,MAPH 41200
ENGL 21202,ENGL 41202
ENGL 22209,MAPH 34250
ENGL 24402,TAPS 28418
ENGL 24408,CMLT 24408
ENGL 24408,TAPS 28438
ENGL 24409,CMLT 25011
ENGL 24807,CMST 24204
ENGL 25010,CMLT 25010
ENGL 25215,GRMN 25215
ENGL 25215,CMST 25215
ENGL 26208,CRES 26210
ENGL 26208,GNSE 26208
ENGL 27807,MAPH 34310
ENGL 27807,CMLT 24270
ENGL 27807,CMLT 34271
ENGL 28811,MAPH 34125
ENGL 28912,RUSS 22302
ENGL 28912,CMLT 22301
ENGL 28912,CMLT 32301
ENGL 28912,ENGL 32302
ENGL 28912,FNDL 27103
ENGL 28912,HIST 23704
ENGL 28912,RUSS 32302
ENGL 32302,RUSS 22302
ENGL 32302,CMLT 22301
ENGL 32302,CMLT 32301
ENGL 32302,ENGL 28912
ENGL 32302,FNDL 27103
ENGL 32302,HIST 23704
ENGL 32302,RUSS 32302
ENGL 29300,CMST 28500
ENGL 29300,ARTH 28500
ENGL 29300,ARTH 38500
ENGL 29300,ARTV 26500
ENGL 29300,ARTV 36500
ENGL 29300,CMLT 22400
ENGL 29300,CMLT 32400
ENGL 29300,CMST 48500
ENGL 29300,ENGL 48700
ENGL 29300,MAPH 36000
ENGL 29600,CMST 28600
ENGL 29600,ARTH 28600
ENGL 29600,ARTH 38600
ENGL 29600,ARTV 26600
ENGL 29600,CMLT 22500
ENGL 29600,CMLT 32500
ENGL 29600,CMST 48600
ENGL 29600,ENGL 48900
ENGL 29600,MAPH 33700
GEOS 13300,ENST 13300
GEOS 13400,PHSC 13400
GEOS 13400,ENST 12300
GEOS 21005,GEOS 31005
GEOS 21200,GEOS 31200
GEOS 21205,GEOS 31205
GEOS 21400,GEOS 31400
GEOS 22000,ASTR 21300
GEOS 22040,GEOS 32040
GEOS 22050,GEOS 32050
GEOS 22060,GEOS 32060
GEOS 22060,ASTR 45900
GEOS 22200,GEOS 32200
GEOS 23200,GEOS 33200
GEOS 23205,GEOS 33205
GEOS 23800,GEOS 33800
GEOS 23805,GEOS 33805
GEOS 23900,ENST 23900
GEOS 23900,GEOS 33900
GEOS 24200,GEOS 34200
GEOS 24500,GEOS 34500
GEOS 24600,GEOS 34600
GEOS 24705,ENST 24705
GEOS 24705,GEOS 34705
GEOS 25400,GEOS 35400
GEOS 26300,BIOS 23261
GEOS 26300,EVOL 32400
GEOS 26300,GEOS 36300
GEOS 26600,GEOS 36600
GEOS 27000,GEOS 37000
GEOS 27000,EVOL 32500
GEOS 28000,GEOS 38000
GEOS 28100,GEOS 38100
GEOS 28300,GEOS 38300
GEOS 29002,GEOS 39002
ENST 12100,PHSC 13500
ENST 12300,PHSC 13400
ENST 12300,GEOS 13400
ENST 12402,BIOS 11125
ENST 12404,BIOS 13107
ENST 12404,NTSC 10400
ENST 13106,BIOS 13106
ENST 13300,GEOS 13300
ENST 21201,NCDV 21201
ENST 21301,ANTH 21303
ENST 21800,LLSO 26201
ENST 21800,PBPL 21800
ENST 22000,ANTH 22000
ENST 22000,ANTH 35500
ENST 23100,LLSO 23100
ENST 23100,PBPL 23100
ENST 23289,BIOS 23289
ENST 23500,SOCI 20106
ENST 23500,PBPL 23600
ENST 23500,SOCI 30106
ENST 23900,GEOS 23900
ENST 23900,GEOS 33900
ENST 24701,PBPL 24701
ENST 24701,LLSO 24901
ENST 24705,GEOS 24705
ENST 24705,GEOS 34705
ENST 25100,BIOS 23351
ENST 25100,ECEV 31300
ENST 25300,GEOS 25300
ENST 25500,BIOS 23406
ENST 25500,EVOL 45500
ENST 25500,GEOG 25500
ENST 25500,GEOG 35500
ENST 25900,GEOG 20100
ENST 25900,GEOG 30100
ENST 26100,GEOG 26100
ENST 26100,GEOG 36100
ENST 26100,HIST 28900
ENST 26100,HIST 38900
ENST 26201,ANTH 28200
ENST 26201,ANTH 38220
ENST 26300,GEOG 26300
ENST 26300,GEOG 36300
ENST 26505,ANTH 26505
ENST 26505,ANTH 46505
ENST 26530,ECON 26530
ENST 26530,PBPL 26530
ENST 26530,PPHA 32510
ENST 26531,ECON 26540
ENST 26531,PBPL 26531
ENST 26531,PPHA 32520
ENST 26701,BIOS 23257
ENST 27400,HSTD 30900
ENST 27400,BIOS 29318
ENST 27400,PPHA 36400
ENST 27400,STAT 35000
ENST 27750,PBPL 27750
ENST 27751,PBPL 27751
ENST 28210,ANTH 28210
ENST 28210,ANTH 48210
ENST 29000,BPRO 29000
ENST 29000,CHSS 37502
ENST 29000,ECON 26800
ENST 29000,PBPL 29000
ENST 29000,PPHA 39201
ENST 29000,PSMS 39000
ENST 29701,PBPL 29701
FNDL 28102,PLSC 27216
FNDL 28102,LLSO 28200
FNDL 28102,PLSC 52316
FNDL 20502,ARTH 17410
FNDL 21103,ITAL 33900
FNDL 21103,CMLT 26701
FNDL 21103,CMLT 36701
FNDL 21103,ITAL 23900
FNDL 21411,ARTH 17612
FNDL 21810,ITAL 21800
FNDL 21908,PHIL 21720
FNDL 22001,PHIL 24800
FNDL 22001,CMLT 25001
FNDL 22001,GNSE 23100
FNDL 22001,HIPS 24300
FNDL 23910,PLSC 33910
FNDL 23910,PLSC 23910
FNDL 24400,RLST 26800
FNDL 24400,HREL 35000
FNDL 24400,SALC 20400
FNDL 24400,SALC 48200
FNDL 24804,GRMN 24814
FNDL 27103,RUSS 22302
FNDL 27103,CMLT 22301
FNDL 27103,CMLT 32301
FNDL 27103,ENGL 28912
FNDL 27103,ENGL 32302
FNDL 27103,HIST 23704
FNDL 27103,RUSS 32302
FNDL 21416,CLCV 22114
FNDL 21714,ITAL 23502
FNDL 21714,ITAL 33502
FNDL 21714,REMS 33502
FNDL 21907,EALC 27014
FNDL 21907,CMLT 27014
FNDL 21907,CMLT 37014
FNDL 21907,EALC 37014
FNDL 23400,PLSC 48300
FNDL 23400,LLSO 28500
FNDL 23400,SCTH 30300
FNDL 23408,PHIL 23408
FNDL 23408,PHIL 33408
FNDL 23902,HIST 23510
FNDL 23902,HIST 33510
FNDL 23915,PLSC 23915
FNDL 23915,CLAS 33915
FNDL 23915,CLCV 23915
FNDL 23915,PLSC 33915
FNDL 24208,PHIL 34208
FNDL 24208,PHIL 24208
FNDL 24208,LAWS 52403
FNDL 24208,LATN 28614
FNDL 24208,CLAS 38614
FNDL 24208,RETH 38614
FNDL 24212,LATN 22100
FNDL 24212,LATN 32100
FNDL 24314,EALC 25305
FNDL 24314,GNSE 25305
FNDL 25706,PHIL 25706
FNDL 25706,PHIL 35706
FNDL 26904,FREN 24300
FNDL 26904,FREN 34300
FNDL 21717,GRMN 26115
FNDL 22405,SPAN 24220
FNDL 22405,CMLT 24220
FNDL 22405,CMLT 34220
FNDL 22405,REMS 34220
FNDL 22405,RLLT 34220
FNDL 22405,SPAN 34220
FNDL 23107,PHIL 21000
FNDL 26106,RLLT 26106
FNDL 26106,NEHC 26106
FNDL 26107,RLST 25601
FNDL 26507,CMST 26302
FNDL 26507,CMST 36302
FNDL 26903,POLI 35301
FNDL 26903,ISHU 29405
FNDL 26903,POLI 25301
ARTH 26803,ARTH 36803
CLCV 22514,CLAS 32514
CLCV 23514,CLAS 33514
CMLT 24402,CMLT 34402
CMLT 24402,SCTH 35914
CMLT 24402,RLLT 24402
CMLT 24402,RLLT 34402
CMST 10100,ARTH 20000
CMST 10100,ARTV 25300
CMST 10100,ENGL 10800
CMST 28500,ARTH 28500
CMST 28500,ARTH 38500
CMST 28500,ARTV 26500
CMST 28500,ARTV 36500
CMST 28500,CMLT 22400
CMST 28500,CMLT 32400
CMST 28500,CMST 48500
CMST 28500,ENGL 29300
CMST 28500,ENGL 48700
CMST 28500,MAPH 36000
CMST 28600,ARTH 28600
CMST 28600,ARTH 38600
CMST 28600,ARTV 26600
CMST 28600,CMLT 22500
